timestamp,open,high,low,close
2025-11-28 14:03:00+00:00,1.39937,1.39957,1.39935,1.39957
2025-11-28 14:04:00+00:00,1.39956,1.39976,1.39953,1.39968
2025-11-28 14:05:00+00:00,1.39968,1.39978,1.39953,1.39956
2025-11-28 14:06:00+00:00,1.39956,1.39988,1.39956,1.39974
2025-11-28 14:07:00+00:00,1.39973,1.39975,1.3996,1.3996
2025-11-28 14:08:00+00:00,1.3996,1.3996,1.39935,1.39935
2025-11-28 14:09:00+00:00,1.39935,1.3996,1.39934,1.39958
2025-11-28 14:10:00+00:00,1.39958,1.39965,1.39956,1.39964
2025-11-28 14:11:00+00:00,1.39964,1.39966,1.39956,1.39956
2025-11-28 14:12:00+00:00,1.39956,1.39979,1.39953,1.39956
2025-11-28 14:13:00+00:00,1.39956,1.39959,1.39948,1.39957
2025-11-28 14:14:00+00:00,1.39957,1.39957,1.39938,1.39938
2025-11-28 14:15:00+00:00,1.39938,1.39938,1.39926,1.39935
2025-11-28 14:16:00+00:00,1.39935,1.39937,1.39928,1.39929
2025-11-28 14:17:00+00:00,1.39929,1.3993,1.39926,1.39927
2025-11-28 14:18:00+00:00,1.39927,1.39934,1.39913,1.39913
2025-11-28 14:19:00+00:00,1.39913,1.39914,1.39911,1.39913
2025-11-28 14:20:00+00:00,1.39913,1.39916,1.39904,1.39905
2025-11-28 14:21:00+00:00,1.39905,1.39906,1.39891,1.39896
2025-11-28 14:22:00+00:00,1.39896,1.399,1.39895,1.399
2025-11-28 14:23:00+00:00,1.399,1.399,1.39892,1.39892
2025-11-28 14:24:00+00:00,1.39892,1.39894,1.39848,1.39868
2025-11-28 14:25:00+00:00,1.39868,1.39884,1.3985,1.39852
2025-11-28 14:26:00+00:00,1.39852,1.39872,1.39851,1.39871
2025-11-28 14:27:00+00:00,1.39871,1.39881,1.39859,1.39859
2025-11-28 14:28:00+00:00,1.39859,1.39865,1.39851,1.39865
2025-11-28 14:29:00+00:00,1.39865,1.39894,1.39865,1.39891
2025-11-28 14:30:00+00:00,1.39891,1.39907,1.3987,1.39888
2025-11-28 14:31:00+00:00,1.39888,1.39888,1.39878,1.3988
2025-11-28 14:32:00+00:00,1.3988,1.3988,1.39847,1.39848
2025-11-28 14:33:00+00:00,1.39848,1.39856,1.39814,1.3982
2025-11-28 14:34:00+00:00,1.39817,1.39841,1.39814,1.39839
2025-11-28 14:35:00+00:00,1.39839,1.39884,1.39839,1.3987
2025-11-28 14:36:00+00:00,1.3987,1.3987,1.39849,1.39856
2025-11-28 14:37:00+00:00,1.39856,1.39856,1.39842,1.39844
2025-11-28 14:38:00+00:00,1.39844,1.39852,1.39825,1.39828
2025-11-28 14:39:00+00:00,1.39828,1.39837,1.39814,1.39814
2025-11-28 14:40:00+00:00,1.39814,1.39814,1.39794,1.3981
2025-11-28 14:41:00+00:00,1.3981,1.3985,1.3981,1.39842
2025-11-28 14:42:00+00:00,1.39839,1.39852,1.39832,1.3985
2025-11-28 14:43:00+00:00,1.3985,1.39862,1.3985,1.39861
2025-11-28 14:44:00+00:00,1.39861,1.39879,1.39859,1.39864
2025-11-28 14:45:00+00:00,1.39864,1.39873,1.39849,1.39853
2025-11-28 14:46:00+00:00,1.3986,1.39889,1.39858,1.39872
2025-11-28 14:47:00+00:00,1.39872,1.39878,1.3986,1.39869
2025-11-28 14:48:00+00:00,1.39869,1.399,1.39869,1.39886
2025-11-28 14:49:00+00:00,1.39886,1.39887,1.39864,1.3987
2025-11-28 14:50:00+00:00,1.3987,1.3987,1.39854,1.39856
2025-11-28 14:51:00+00:00,1.39856,1.39856,1.3985,1.39853
2025-11-28 14:52:00+00:00,1.39853,1.39854,1.39834,1.39838
2025-11-28 14:53:00+00:00,1.39838,1.39839,1.3983,1.39837
2025-11-28 14:54:00+00:00,1.39837,1.39839,1.39821,1.39824
2025-11-28 14:55:00+00:00,1.39824,1.39828,1.39807,1.39807
2025-11-28 14:56:00+00:00,1.39807,1.3982,1.39802,1.3982
2025-11-28 14:57:00+00:00,1.39819,1.3983,1.39806,1.3983
2025-11-28 14:58:00+00:00,1.3983,1.3983,1.39803,1.39818
2025-11-28 14:59:00+00:00,1.39818,1.39818,1.39798,1.39803
2025-11-28 15:00:00+00:00,1.39803,1.39807,1.39786,1.39793
2025-11-28 15:01:00+00:00,1.39793,1.39799,1.39788,1.3979
2025-11-28 15:02:00+00:00,1.3979,1.3979,1.39726,1.3974
2025-11-28 15:03:00+00:00,1.39737,1.39773,1.39731,1.39732
2025-11-28 15:04:00+00:00,1.3974,1.39742,1.39731,1.39732
2025-11-28 15:05:00+00:00,1.39732,1.39734,1.39723,1.39723
2025-11-28 15:06:00+00:00,1.39723,1.39725,1.39703,1.39713
2025-11-28 15:07:00+00:00,1.39713,1.39719,1.39704,1.39706
2025-11-28 15:08:00+00:00,1.39706,1.39714,1.39706,1.39713
2025-11-28 15:09:00+00:00,1.39713,1.39733,1.397,1.39722
2025-11-28 15:10:00+00:00,1.39722,1.39723,1.39714,1.39714
2025-11-28 15:11:00+00:00,1.39714,1.39716,1.39684,1.39703
2025-11-28 15:12:00+00:00,1.39703,1.39716,1.39685,1.397
2025-11-28 15:13:00+00:00,1.397,1.39704,1.39697,1.39703
2025-11-28 15:14:00+00:00,1.39703,1.39703,1.39672,1.39672
2025-11-28 15:15:00+00:00,1.39672,1.39677,1.39667,1.3967
2025-11-28 15:16:00+00:00,1.3967,1.39681,1.3967,1.39677
2025-11-28 15:17:00+00:00,1.39677,1.39694,1.39677,1.39691
2025-11-28 15:18:00+00:00,1.39691,1.39706,1.39679,1.39705
2025-11-28 15:19:00+00:00,1.39702,1.39706,1.39697,1.39702
2025-11-28 15:20:00+00:00,1.39702,1.39702,1.39672,1.39675
2025-11-28 15:21:00+00:00,1.39675,1.39679,1.39672,1.39675
2025-11-28 15:22:00+00:00,1.39675,1.39678,1.39672,1.39674
2025-11-28 15:23:00+00:00,1.39674,1.39686,1.39674,1.39686
2025-11-28 15:24:00+00:00,1.39686,1.39686,1.39676,1.39684
2025-11-28 15:25:00+00:00,1.39684,1.39684,1.39674,1.39683
2025-11-28 15:26:00+00:00,1.39683,1.39698,1.39681,1.39684
2025-11-28 15:27:00+00:00,1.39684,1.39684,1.39666,1.39667
2025-11-28 15:28:00+00:00,1.39667,1.39668,1.39661,1.39661
2025-11-28 15:29:00+00:00,1.39661,1.39661,1.39632,1.39637
2025-11-28 15:30:00+00:00,1.39636,1.39636,1.39604,1.39621
2025-11-28 15:31:00+00:00,1.39621,1.39621,1.396,1.39608
2025-11-28 15:32:00+00:00,1.39608,1.39626,1.39604,1.39625
2025-11-28 15:33:00+00:00,1.39625,1.39627,1.39614,1.39615
2025-11-28 15:34:00+00:00,1.39615,1.39618,1.39602,1.39602
2025-11-28 15:35:00+00:00,1.39602,1.39614,1.39602,1.39614
2025-11-28 15:36:00+00:00,1.39614,1.39615,1.39605,1.39608
2025-11-28 15:37:00+00:00,1.39609,1.39615,1.39608,1.3961
2025-11-28 15:38:00+00:00,1.3961,1.39621,1.39609,1.39609
2025-11-28 15:39:00+00:00,1.39609,1.39619,1.39593,1.39593
2025-11-28 15:40:00+00:00,1.39593,1.39608,1.39573,1.39604
2025-11-28 15:41:00+00:00,1.39604,1.39604,1.39576,1.39576
2025-11-28 15:42:00+00:00,1.39576,1.39596,1.39574,1.39586
2025-11-28 15:43:00+00:00,1.39586,1.39615,1.39586,1.39611
2025-11-28 15:44:00+00:00,1.39611,1.39616,1.39607,1.3961
2025-11-28 15:45:00+00:00,1.3961,1.39612,1.39602,1.3961
2025-11-28 15:46:00+00:00,1.3961,1.3961,1.39589,1.39599
2025-11-28 15:47:00+00:00,1.39599,1.39628,1.39577,1.39577
2025-11-28 15:48:00+00:00,1.39577,1.39598,1.39577,1.39584
2025-11-28 15:49:00+00:00,1.39584,1.39607,1.39584,1.39593
2025-11-28 15:50:00+00:00,1.39593,1.39611,1.39579,1.39579
2025-11-28 15:51:00+00:00,1.39579,1.39583,1.3956,1.39575
2025-11-28 15:52:00+00:00,1.39576,1.39576,1.39547,1.39551
2025-11-28 15:53:00+00:00,1.39551,1.39551,1.39468,1.3947
2025-11-28 15:54:00+00:00,1.3947,1.39484,1.39457,1.39465
2025-11-28 15:55:00+00:00,1.39465,1.39479,1.39414,1.39426
2025-11-28 15:56:00+00:00,1.39426,1.39443,1.39398,1.3944
2025-11-28 15:57:00+00:00,1.39438,1.39448,1.3939,1.39412
2025-11-28 15:58:00+00:00,1.3941,1.39429,1.39386,1.39389
2025-11-28 15:59:00+00:00,1.39387,1.39422,1.39384,1.39409
2025-11-28 16:00:00+00:00,1.39409,1.39419,1.39388,1.39414
2025-11-28 16:01:00+00:00,1.39414,1.39466,1.39384,1.39466
2025-11-28 16:02:00+00:00,1.39465,1.39477,1.3943,1.3947
2025-11-28 16:03:00+00:00,1.3947,1.39484,1.39448,1.39475
2025-11-28 16:04:00+00:00,1.39475,1.39508,1.39457,1.39501
2025-11-28 16:05:00+00:00,1.39501,1.39503,1.39479,1.39491
2025-11-28 16:06:00+00:00,1.39491,1.39523,1.39479,1.3952
2025-11-28 16:07:00+00:00,1.39528,1.39576,1.39528,1.39576
