timestamp,open,high,low,close
2025-11-28 14:03:00+00:00,1.15799,1.15806,1.15796,1.15804
2025-11-28 14:04:00+00:00,1.15804,1.15804,1.15793,1.158
2025-11-28 14:05:00+00:00,1.158,1.15816,1.15795,1.15813
2025-11-28 14:06:00+00:00,1.15813,1.15813,1.15777,1.15785
2025-11-28 14:07:00+00:00,1.15785,1.15791,1.15778,1.1578
2025-11-28 14:08:00+00:00,1.1578,1.15818,1.15778,1.15808
2025-11-28 14:09:00+00:00,1.15808,1.1581,1.15802,1.15803
2025-11-28 14:10:00+00:00,1.15803,1.15807,1.15787,1.158
2025-11-28 14:11:00+00:00,1.15799,1.15804,1.15793,1.15801
2025-11-28 14:12:00+00:00,1.15801,1.15803,1.15778,1.15787
2025-11-28 14:13:00+00:00,1.15787,1.15796,1.15787,1.15794
2025-11-28 14:14:00+00:00,1.15794,1.15802,1.15794,1.158
2025-11-28 14:15:00+00:00,1.158,1.15812,1.15794,1.15794
2025-11-28 14:16:00+00:00,1.15794,1.15794,1.15782,1.15784
2025-11-28 14:17:00+00:00,1.15784,1.15787,1.15783,1.15784
2025-11-28 14:18:00+00:00,1.15784,1.15789,1.15784,1.15787
2025-11-28 14:19:00+00:00,1.15787,1.15789,1.15774,1.15774
2025-11-28 14:20:00+00:00,1.15774,1.15778,1.15768,1.15768
2025-11-28 14:21:00+00:00,1.15768,1.15776,1.15768,1.15773
2025-11-28 14:22:00+00:00,1.15773,1.15774,1.15754,1.15754
2025-11-28 14:23:00+00:00,1.15753,1.15757,1.15733,1.1574
2025-11-28 14:24:00+00:00,1.1574,1.15751,1.15737,1.15742
2025-11-28 14:25:00+00:00,1.15739,1.15752,1.15739,1.1575
2025-11-28 14:26:00+00:00,1.1575,1.15752,1.15723,1.15724
2025-11-28 14:27:00+00:00,1.15724,1.15725,1.15712,1.15719
2025-11-28 14:28:00+00:00,1.15719,1.15722,1.15712,1.15718
2025-11-28 14:29:00+00:00,1.15718,1.15721,1.15714,1.15719
2025-11-28 14:30:00+00:00,1.15719,1.15722,1.15714,1.15716
2025-11-28 14:31:00+00:00,1.15718,1.15734,1.15718,1.15723
2025-11-28 14:32:00+00:00,1.15723,1.15728,1.15714,1.15727
2025-11-28 14:33:00+00:00,1.15727,1.15742,1.15725,1.1574
2025-11-28 14:34:00+00:00,1.15741,1.15745,1.15741,1.15743
2025-11-28 14:35:00+00:00,1.15743,1.15746,1.15741,1.15746
2025-11-28 14:36:00+00:00,1.15746,1.15751,1.15745,1.1575
2025-11-28 14:37:00+00:00,1.1575,1.15762,1.15749,1.15762
2025-11-28 14:38:00+00:00,1.15762,1.15778,1.15761,1.15776
2025-11-28 14:39:00+00:00,1.15776,1.1578,1.15759,1.15763
2025-11-28 14:40:00+00:00,1.15763,1.15767,1.15747,1.15765
2025-11-28 14:41:00+00:00,1.15764,1.15771,1.15754,1.15761
2025-11-28 14:42:00+00:00,1.15761,1.15771,1.15754,1.15755
2025-11-28 14:43:00+00:00,1.15755,1.15755,1.15748,1.15751
2025-11-28 14:44:00+00:00,1.15751,1.15755,1.1575,1.15751
2025-11-28 14:45:00+00:00,1.15751,1.15757,1.1575,1.15755
2025-11-28 14:46:00+00:00,1.15755,1.15755,1.15731,1.15742
2025-11-28 14:47:00+00:00,1.15742,1.15752,1.15741,1.1575
2025-11-28 14:48:00+00:00,1.1575,1.15751,1.15734,1.15748
2025-11-28 14:49:00+00:00,1.15748,1.15757,1.15745,1.15756
2025-11-28 14:50:00+00:00,1.15756,1.15785,1.15756,1.15783
2025-11-28 14:51:00+00:00,1.15783,1.15785,1.15774,1.15781
2025-11-28 14:52:00+00:00,1.15781,1.15804,1.15778,1.158
2025-11-28 14:53:00+00:00,1.158,1.15806,1.15797,1.15799
2025-11-28 14:54:00+00:00,1.158,1.15804,1.15799,1.15804
2025-11-28 14:55:00+00:00,1.15804,1.15813,1.158,1.15804
2025-11-28 14:56:00+00:00,1.15804,1.15817,1.15804,1.15813
2025-11-28 14:57:00+00:00,1.15813,1.15848,1.15808,1.15843
2025-11-28 14:58:00+00:00,1.15843,1.1585,1.15839,1.15841
2025-11-28 14:59:00+00:00,1.15841,1.15848,1.15831,1.15845
2025-11-28 15:00:00+00:00,1.15845,1.15845,1.15833,1.15837
2025-11-28 15:01:00+00:00,1.15837,1.15845,1.15833,1.15835
2025-11-28 15:02:00+00:00,1.15835,1.15848,1.15835,1.1584
2025-11-28 15:03:00+00:00,1.1584,1.15846,1.15829,1.15836
2025-11-28 15:04:00+00:00,1.15837,1.15863,1.15837,1.1585
2025-11-28 15:05:00+00:00,1.1585,1.15877,1.15843,1.15877
2025-11-28 15:06:00+00:00,1.15877,1.1588,1.15853,1.15853
2025-11-28 15:07:00+00:00,1.15854,1.15854,1.15832,1.15833
2025-11-28 15:08:00+00:00,1.15833,1.15834,1.15828,1.15829
