,10000,20000,30000,40000,50000,60000,70000
jforex,2025-11-28 02:58:22.639000,2025-11-28 03:51:27.984000,2025-11-28 04:38:45.707000,2025-11-28 05:42:15.209000,2025-11-28 06:37:13.411000,2025-11-28 07:37:31.223000,2025-11-28 08:22:15.064000
tws,2025-11-26 19:41:15.030748,2025-11-26 20:15:13.969376,2025-11-26 20:49:10.460057,2025-11-26 21:23:05.544944,2025-11-26 21:56:58.485033,2025-11-26 22:30:53.640316,2025-11-26 23:04:47.750454
